"","match.id","series.id","duration..s.","mode","map","team","win.","score","player","kills","deaths","X...","k.d","kills.per.10min","deaths.per.10min","player.score","player.spm","damage.dealt","event"
"255","eUnited_Team Sween_Hacienda_SND_2","eusween",NA,"Search & Destroy","Hacienda","eUnited","W",6,"Abezy",4,5,-1,0.8,NA,NA,625,NA,893,"Vegas"
"256","eUnited_Team Sween_Hacienda_SND_2","eusween",NA,"Search & Destroy","Hacienda","Team Sween","L",3,"Qwiker",6,8,-2,0.75,NA,NA,930,NA,881,"Vegas"
"257","eUnited_Team Sween_Hacienda_SND_2","eusween",NA,"Search & Destroy","Hacienda","Team Sween","L",3,"Braaain",3,8,-5,0.38,NA,NA,350,NA,936,"Vegas"
"258","eUnited_Team Sween_Hacienda_SND_2","eusween",NA,"Search & Destroy","Hacienda","Team Sween","L",3,"Nolson",2,6,-4,0.33,NA,NA,500,NA,1443,"Vegas"
"259","eUnited_Team Sween_Hacienda_SND_2","eusween",NA,"Search & Destroy","Hacienda","Team Sween","L",3,"Dylan",8,6,2,1.33,NA,NA,1495,NA,1426,"Vegas"
"260","eUnited_Team Sween_Hacienda_SND_2","eusween",NA,"Search & Destroy","Hacienda","Team Sween","L",3,"Weeman",8,6,2,1.33,NA,NA,1300,NA,1934,"Vegas"
"261","eUnited_Team Sween_Seaside_Control_3","eusween",790,"Control","Seaside","Team Sween","L",1,"Nolson",21,20,1,1.05,15.95,15.19,2875,218.35,4012,"Vegas"
"262","eUnited_Team Sween_Seaside_Control_3","eusween",790,"Control","Seaside","eUnited","W",3,"Clayster",16,21,-5,0.76,12.15,15.95,2600,197.47,3550,"Vegas"
"263","eUnited_Team Sween_Seaside_Control_3","eusween",790,"Control","Seaside","Team Sween","L",1,"Weeman",12,26,-14,0.46,9.11,19.75,1550,117.72,3369,"Vegas"
"264","eUnited_Team Sween_Seaside_Control_3","eusween",790,"Control","Seaside","eUnited","W",3,"Arcitys",24,18,6,1.33,18.23,13.67,3225,244.94,5565,"Vegas"
"265","eUnited_Team Sween_Seaside_Control_3","eusween",790,"Control","Seaside","eUnited","W",3,"Abezy",23,18,5,1.28,17.47,13.67,3660,277.97,5373,"Vegas"
"266","eUnited_Team Sween_Seaside_Control_3","eusween",790,"Control","Seaside","Team Sween","L",1,"Braaain",23,21,2,1.1,17.47,15.95,3350,254.43,4518,"Vegas"
"267","eUnited_Team Sween_Seaside_Control_3","eusween",790,"Control","Seaside","Team Sween","L",1,"Qwiker",20,22,-2,0.91,15.19,16.71,2900,220.25,3599,"Vegas"
"268","eUnited_Team Sween_Seaside_Control_3","eusween",790,"Control","Seaside","eUnited","W",3,"JKap",22,17,5,1.29,16.71,12.91,3195,242.66,3806,"Vegas"
"269","eUnited_Team Sween_Seaside_Control_3","eusween",790,"Control","Seaside","Team Sween","L",1,"Dylan",24,22,2,1.09,18.23,16.71,4000,303.8,4950,"Vegas"
"270","eUnited_Team Sween_Seaside_Control_3","eusween",790,"Control","Seaside","eUnited","W",3,"Prestinni",24,23,1,1.04,18.23,17.47,3825,290.51,5017,"Vegas"
"271","eUnited_Thieves_Arsenal_HP_4","eu100t",562,"Hardpoint","Arsenal","eUnited","W",250,"Clayster",17,20,-3,0.85,18.15,21.35,2750,293.59,4077,"Vegas"
"272","eUnited_Thieves_Arsenal_HP_4","eu100t",562,"Hardpoint","Arsenal","eUnited","W",250,"Arcitys",36,13,23,2.77,38.43,13.88,4430,472.95,6018,"Vegas"
"273","eUnited_Thieves_Arsenal_HP_4","eu100t",562,"Hardpoint","Arsenal","Thieves","L",136,"Slasher",20,21,-1,0.95,21.35,22.42,3290,351.25,3700,"Vegas"
"274","eUnited_Thieves_Arsenal_HP_4","eu100t",562,"Hardpoint","Arsenal","eUnited","W",250,"Abezy",20,16,4,1.25,21.35,17.08,3210,342.7,3752,"Vegas"
"275","eUnited_Thieves_Arsenal_HP_4","eu100t",562,"Hardpoint","Arsenal","Thieves","L",136,"Fero",17,25,-8,0.68,18.15,26.69,2185,233.27,3212,"Vegas"
"276","eUnited_Thieves_Arsenal_HP_4","eu100t",562,"Hardpoint","Arsenal","eUnited","W",250,"JKap",23,12,11,1.92,24.56,12.81,3975,424.38,4307,"Vegas"
