"","match.id","player","series.id","end.time","duration..s.","mode","map","team","win.","score","kills","deaths","X...","k.d","kills.per.10min","deaths.per.10min","player.score","player.spm","damage.dealt","ekia","assists","headshots","suicides","team.kills","team.deaths","kills..stayed.alive.","hits","shots","accuracy....","num.lives","time.alive..s.","avg.time.per.life..s.","fave.weapon","fave.specialist","fave.scorestreaks","hill.time..s.","hill.captures","hill.defends","snd.rounds","snd.firstbloods","snd.firstdeaths","snd.survives","bomb.pickups","bomb.plants","bomb.defuses","bomb.sneak.defuses","snd.1.kill.round","snd.2.kill.round","snd.3.kill.round","snd.4.kill.round","ctrl.rounds","ctrl.firstbloods","ctrl.firstdeaths","ctrl.captures","X2.piece","X3.piece","X4.piece","X4.streak","X5.streak","X6.streak","X7.streak","X8..streak","event"
"961","12518854800973362865","Apathy","pro-w8-1","2019-05-20 22:25:08 UTC",702,"Hardpoint","Hacienda","Evil Geniuses","W",250,24,30,-6,0.8,20.5,25.6,3960,338.5,5525,36,12,0,0,0,0,0,0,0,"0.0%",31,0,"0.0","Saug 9mm","Ruin",NA,46,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,"Pro League"
"962","12518854800973362865","Attach","pro-w8-1","2019-05-20 22:25:08 UTC",702,"Hardpoint","Hacienda","Evil Geniuses","W",250,30,27,3,1.11,25.6,23.1,4455,380.8,5873,38,8,2,0,0,0,0,0,0,"0.0%",28,0,"0.0","Maddox RFB","Battery",NA,34,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,"Pro League"
"963","12518854800973362865","Blazt","pro-w8-1","2019-05-20 22:25:08 UTC",702,"Hardpoint","Hacienda","Midnight","L",224,28,29,-1,0.97,23.9,24.8,4365,373.1,5561,38,11,3,0,0,0,0,0,0,"0.0%",30,0,"0.0","Maddox RFB","Crash",NA,27,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"Pro League"
"964","12518854800973362865","JKap","pro-w8-1","2019-05-20 22:25:08 UTC",702,"Hardpoint","Hacienda","Evil Geniuses","W",250,25,26,-1,0.96,21.4,22.2,4310,368.4,5196,34,9,1,0,0,0,0,0,0,"0.0%",27,0,"0.0","Maddox RFB","Prophet",NA,97,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,"Pro League"
"965","12518854800973362865","Lacefield","pro-w8-1","2019-05-20 22:25:08 UTC",702,"Hardpoint","Hacienda","Midnight","L",224,30,21,9,1.43,25.6,17.9,5085,434.6,6152,46,17,3,0,0,1,0,0,0,"0.0%",22,0,"0.0","Maddox RFB","Ruin",NA,104,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,"Pro League"
"966","12518854800973362865","LlamaGod","pro-w8-1","2019-05-20 22:25:08 UTC",702,"Hardpoint","Hacienda","Midnight","L",224,30,20,10,1.5,25.6,17.1,4215,360.3,5989,40,11,1,0,0,1,0,0,0,"0.0%",22,0,"0.0","Maddox RFB","Prophet",NA,46,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,1,"Pro League"
"967","12518854800973362865","Parasite","pro-w8-1","2019-05-20 22:25:08 UTC",702,"Hardpoint","Hacienda","Midnight","L",224,24,26,-2,0.92,20.5,22.2,3710,317.1,6091,31,8,1,1,2,1,0,0,0,"0.0%",28,0,"0.0","ICR-7","",NA,78,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"Pro League"
"968","12518854800973362865","Phantomz","pro-w8-1","2019-05-20 22:25:08 UTC",702,"Hardpoint","Hacienda","Evil Geniuses","W",250,26,24,2,1.08,22.2,20.5,3635,310.7,5395,30,4,2,0,1,0,0,0,0,"0.0%",25,0,"0.0","ICR-7","Ruin",NA,59,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,"Pro League"
"969","12518854800973362865","Saints","pro-w8-1","2019-05-20 22:25:08 UTC",702,"Hardpoint","Hacienda","Midnight","L",224,24,30,-6,0.8,20.5,25.6,3605,308.1,4513,30,6,0,0,0,0,0,0,0,"0.0%",31,0,"0.0","Saug 9mm","Battery",NA,61,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,"Pro League"
"970","12518854800973362865","Xotic","pro-w8-1","2019-05-20 22:25:08 UTC",702,"Hardpoint","Hacienda","Evil Geniuses","W",250,20,29,-9,0.69,17.1,24.8,3185,272.2,4603,30,10,3,0,0,1,0,0,0,"0.0%",30,0,"0.0","Maddox RFB","Prophet",NA,88,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pro League"
