id,event,setting,mode,map,team,spec,player,player_score,kills,deaths,obj1,obj2,team_score,opponent,opponent_score
NA_Stage2_Week1_100 Thieves_Team SoloMid_1,NA_Stage2_Week1,Online,Hardpoint,Fringe,100 Thieves,Active C,ColeChan,5275,35,28,0:51,10,153,Team SoloMid,250
NA_Stage2_Week1_100 Thieves_Team SoloMid_1,NA_Stage2_Week1,Online,Hardpoint,Fringe,100 Thieves,Annihilator,Ivy,4425,31,31,0:35,6,153,Team SoloMid,250
NA_Stage2_Week1_100 Thieves_Team SoloMid_1,NA_Stage2_Week1,Online,Hardpoint,Fringe,100 Thieves,Tempest,Whea7s,4300,31,31,0:54,7,153,Team SoloMid,250
NA_Stage2_Week1_100 Thieves_Team SoloMid_1,NA_Stage2_Week1,Online,Hardpoint,Fringe,100 Thieves,Scythe,Pacman,3800,23,30,1:03,0,153,Team SoloMid,250
NA_Stage2_Week1_100 Thieves_Team SoloMid_1,NA_Stage2_Week1,Online,Hardpoint,Fringe,100 Thieves,Tempest,Royalty,5425,38,24,1:58,10,153,Team SoloMid,250
NA_Stage2_Week1_100 Thieves_Team SoloMid_1,NA_Stage2_Week1,Online,Hardpoint,Fringe,100 Thieves,Scythe,Johnny,4475,29,31,1:05,13,153,Team SoloMid,250
NA_Stage2_Week1_100 Thieves_Team SoloMid_1,NA_Stage2_Week1,Online,Hardpoint,Fringe,100 Thieves,Purifier,Nelson,4150,25,36,2:05,6,153,Team SoloMid,250
NA_Stage2_Week1_100 Thieves_Team SoloMid_1,NA_Stage2_Week1,Online,Hardpoint,Fringe,100 Thieves,Active C,Examples,4375,28,30,1:11,10,153,Team SoloMid,250
NA_Stage2_Week1_100 Thieves_Team SoloMid_2,NA_Stage2_Week1,Online,Search and Destroy,Stronghold,100 Thieves,Psychosis,Ivy,575,5,7,0,0,2,Team SoloMid,6
NA_Stage2_Week1_100 Thieves_Team SoloMid_2,NA_Stage2_Week1,Online,Search and Destroy,Stronghold,100 Thieves,Heat Wave,Whea7s,610,4,7,0,0,2,Team SoloMid,6
NA_Stage2_Week1_100 Thieves_Team SoloMid_2,NA_Stage2_Week1,Online,Search and Destroy,Stronghold,100 Thieves,Glitch,Pacman,650,5,6,1,0,2,Team SoloMid,6
NA_Stage2_Week1_100 Thieves_Team SoloMid_2,NA_Stage2_Week1,Online,Search and Destroy,Stronghold,100 Thieves,Active C,ColeChan,625,5,8,0,0,2,Team SoloMid,6
