id,event,setting,mode,map,team,spec,player,player_score,kills,deaths,obj1,obj2,team_score,opponent,opponent_score
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_1,NA_Stage1_Playoffs,LAN,Hardpoint,Fringe,Rise Nation,Scythe,Octane,NA,52,31,1:05,NA,242,Luminosity Gaming,207
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_1,NA_Stage1_Playoffs,LAN,Hardpoint,Fringe,Rise Nation,Tempest,Classic,NA,47,36,2:18,NA,242,Luminosity Gaming,207
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_1,NA_Stage1_Playoffs,LAN,Hardpoint,Fringe,Rise Nation,Heat Wave,Loony,NA,40,43,0:39,NA,242,Luminosity Gaming,207
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_1,NA_Stage1_Playoffs,LAN,Hardpoint,Fringe,Rise Nation,Active C,Slacked,NA,33,39,1:06,NA,242,Luminosity Gaming,207
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_1,NA_Stage1_Playoffs,LAN,Hardpoint,Fringe,Luminosity Gaming,Scythe,Crowder,NA,31,37,1:32,NA,242,Rise Nation,207
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_1,NA_Stage1_Playoffs,LAN,Hardpoint,Fringe,Luminosity Gaming,Active C,SpaceLy,NA,38,45,1:26,NA,242,Rise Nation,207
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_1,NA_Stage1_Playoffs,LAN,Hardpoint,Fringe,Luminosity Gaming,Heat Wave,Saints,NA,38,39,0:54,NA,242,Rise Nation,207
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_1,NA_Stage1_Playoffs,LAN,Hardpoint,Fringe,Luminosity Gaming,Purifier,John,NA,42,51,0:34,NA,242,Rise Nation,207
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_2,NA_Stage1_Playoffs,LAN,Search and Destroy,Hunted,Rise Nation,Vision P,Octane,NA,9,6,0,NA,6,Luminosity Gaming,3
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_2,NA_Stage1_Playoffs,LAN,Search and Destroy,Hunted,Rise Nation,Active C,Classic,NA,3,6,1,NA,6,Luminosity Gaming,3
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_2,NA_Stage1_Playoffs,LAN,Search and Destroy,Hunted,Rise Nation,Heat Wave,Loony,NA,8,5,0,NA,6,Luminosity Gaming,3
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_2,NA_Stage1_Playoffs,LAN,Search and Destroy,Hunted,Rise Nation,Kinetic A,Slacked,NA,9,4,1,NA,6,Luminosity Gaming,3
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_2,NA_Stage1_Playoffs,LAN,Search and Destroy,Hunted,Luminosity Gaming,Kinetic A,Crowder,NA,4,8,0,NA,6,Rise Nation,3
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_2,NA_Stage1_Playoffs,LAN,Search and Destroy,Hunted,Luminosity Gaming,Heat Wave,SpaceLy,NA,4,7,3,NA,6,Rise Nation,3
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_2,NA_Stage1_Playoffs,LAN,Search and Destroy,Hunted,Luminosity Gaming,Active C,Saints,NA,3,7,0,NA,6,Rise Nation,3
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_2,NA_Stage1_Playoffs,LAN,Search and Destroy,Hunted,Luminosity Gaming,Overdrive,John,NA,10,7,0,NA,6,Rise Nation,3
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_3,NA_Stage1_Playoffs,LAN,Uplink,Breach,Rise Nation,Scythe,Octane,NA,28,20,0,NA,10,Luminosity Gaming,5
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_3,NA_Stage1_Playoffs,LAN,Uplink,Breach,Rise Nation,Annihilator,Classic,NA,22,23,0,NA,10,Luminosity Gaming,5
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_3,NA_Stage1_Playoffs,LAN,Uplink,Breach,Rise Nation,Heat Wave,Loony,NA,21,23,1,NA,10,Luminosity Gaming,5
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_3,NA_Stage1_Playoffs,LAN,Uplink,Breach,Rise Nation,Kinetic A,Slacked,NA,17,20,2,NA,10,Luminosity Gaming,5
NA_Stage1_Playoffs_Rise Nation_Luminosity Gaming_3,NA_Stage1_Playoffs,LAN,Uplink,Breach,Luminosity Gaming,Scythe,Crowder,NA,15,20,0,NA,10,Rise Nation,5
